fileName,variableName,description,unitText
individual.csv,uid,Unique ID within NEON database; an identifier for the record,NA
individual.csv,namedLocation,NA,NA
individual.csv,date,"Date or date and time of measurement, observation, or collection event",NA
individual.csv,eventID,NA,NA
individual.csv,domainID,NA,NA
individual.csv,siteID,NA,NA
individual.csv,plotID,NA,NA
individual.csv,individualID,NA,NA
individual.csv,growthForm,NA,NA
individual.csv,stemDiameter,NA,NA
individual.csv,measurementHeight,NA,NA
individual.csv,height,Highest point of an individual or average height of a patch,meter
individual.csv,uid_map,NA,NA
individual.csv,pointID,NA,NA
individual.csv,stemDistance,NA,NA
individual.csv,stemAzimuth,NA,NA
individual.csv,taxonID,NA,NA
individual.csv,scientificName,NA,NA
individual.csv,taxonRank,NA,NA
individual.csv,uid_ppl,NA,NA
individual.csv,plotType,NA,NA
individual.csv,nlcdClass,NA,NA
individual.csv,decimalLatitude,NA,NA
individual.csv,decimalLongitude,NA,NA
individual.csv,geodeticDatum,NA,NA
individual.csv,easting,"Geographic coordinate specifying the east-west position of a point on the Earth's surface (Universal Transverse Mercator, UTM)",meter
individual.csv,northing,"Geographic coordinate specifying the north-south position of a point on the Earth's surface (Universal Transverse Mercator, UTM)",meter
individual.csv,utmZone,NA,NA
individual.csv,elevation,Elevation (in meters) above sea level,meter
individual.csv,elevationUncertainty,NA,NA
